seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.827348941,141.4569788,7,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.837769701,105.5293252,7,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.82632709,115.7578657,7,
,,,,,,,,,,,0.82448031,7 平均值,7,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.805506437,337.6859888,160,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.824350484,564.6367544,160,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.813021199,364.4008318,160,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.836928271,186.2872042,160,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.84255439,224.183041,160,
,,,,,,,,,,,0.824472156,160 平均值,160,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.820804344,132.7252697,96,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.818941063,131.8101053,96,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.826007019,95.4734455,96,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.832871687,113.0680079,96,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.820432587,94.82920628,96,
,,,,,,,,,,,0.82381134,96 平均值,96,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.835230002,122.3895811,110,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.820267575,133.6462191,110,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.828252009,125.4155585,110,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.812871597,140.2959035,110,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.821975797,132.6807293,110,
,,,,,,,,,,,0.823719396,110 平均值,110,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.1,0,0.826951822,818.0377222,70,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.1,0,0.82394245,534.5823133,70,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.1,0,0.831849836,887.0919276,70,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.1,0,0.8191324,1086.33797,70,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.1,0,0.814719468,1206.45459,70,
,,,,,,,,,,,0.823319195,70 平均值,70,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.835168363,384.5113631,161,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.816582748,816.8614624,161,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.848675543,398.6106798,161,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.823597018,619.8054319,161,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.792572303,564.1096004,161,
,,,,,,,,,,,0.823319195,161 平均值,161,
