seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.871279908,1294.981868,23
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.871090101,466.6980395,23
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.871060636,457.6647623,23
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.871035942,460.4473132,23
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.871018823,451.8688807,24
2,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.871006476,467.0468677,24
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.87096277,472.9410758,24
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.87087906,462.4187094,24
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.870756173,440.2624047,24
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.870710245,446.124532,25
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0.0005,0.870455413,557.990801,25
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.870415822,444.8012926,25
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.870157044,989.4263796,25
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.870138688,451.545891,25
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.870113581,463.6502619,26
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.870046747,451.4988702,26
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.869917109,472.7839937,26
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.869824925,461.3178654,26
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.869810684,457.0601672,26
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.869770681,455.4126559,27
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.869570834,463.6682332,27
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.869518568,439.8003527,27
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0,0.869441281,598.9348763,27
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.8692388,478.6094351,27
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.869169987,434.760493,28
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.86909089,463.446046,28
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.868992612,458.078449,28
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.868965283,453.3909981,28
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.868899274,1470.178673,28
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.868856965,438.4836118,29
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0.0005,0.868658599,557.0576657,29
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.868614977,528.9879532,29
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.868575302,455.3122143,29
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.868543942,445.9905258,29
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.868479658,448.0106222,30
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.868326892,466.660194,30
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.868228698,475.3088328,30
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.86807478,505.4987996,30
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.868022429,466.0452134,30
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.867936911,460.7457366,31
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.867849085,451.3659019,31
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.867513348,600.1338933,31
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.867471038,453.6740367,31
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.867335804,435.6591411,31
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.867298435,464.0843197,32
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.867242054,463.376796,32
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.867204029,925.2766724,32
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.867131185,538.3164033,32
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.867054141,471.0876477,32
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.866861784,458.5854898,33
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0.0005,0.866651484,641.4402743,33
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.866649262,474.9362523,33
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.865075836,478.9239443,33
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.864979451,471.8689852,33
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.864635313,490.1242943,34
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.864464276,475.9143713,34
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.864234879,496.5133906,34
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.864088863,470.7400472,34
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.86278434,569.4442834,34
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.862778415,463.478479,35
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.86272014,1833.735493,35
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.862253939,508.0189915,35
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.862095492,460.3903799,35
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.86205187,809.6285963,35
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.861563198,461.1153187,36
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.861434301,507.4620052,36
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.860707344,590.9970259,36
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.860639356,480.0210029,36
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.860307237,482.6203407,36
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.859284461,704.6727822,37
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.858471329,3341.810336,37
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.857371097,648.9252565,37
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.854833497,860.5540808,37
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.854743863,719.44644,37
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.852669089,889.3542067,38
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.850830875,1142.369225,38
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.850048192,1094.933047,38
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.849982183,1227.175549,38
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.847254364,2034.521546,38
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.845269225,521.1977294,39
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0.0005,0.844806399,617.9852083,39
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.843235607,593.2743202,39
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.842438028,883.4961237,39
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.841301993,610.715007,39
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0,0.839102934,1080.863922,40
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.835085161,846.8207803,40
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0.0005,0.83457262,1199.94968,40
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0,0.834291042,1297.296844,40
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.826160846,1448.887218,40
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0,0.823926228,591.2439702,41
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.818350094,1026.130968,41
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0.0005,0.818143085,752.2751525,41
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.25,0,0.817723309,864.3129109,41
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.25,0.0005,0.817583377,6292.836293,41
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0.0005,0.816545049,821.0281765,42
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.25,0.0005,0.816415083,8619.2129,42
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.25,0,0.813656233,1547.628022,42
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0,0.810513496,2065.826509,42
