seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.484400211,4082.536247,32
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.592486521,3963.19553,32
,,,,,,,,,,,0.496474578,32 平均值,32
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.687345585,12967.10445,33
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.605500943,6455.527114,33
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.487148761,5321.331893,33
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.621793426,8018.902643,33
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.556908052,81521.12757,33
,,,,,,,,,,,0.591739353,33 平均值,33
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.45012134,28769.48255,34
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.525080868,10038.84659,34
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.428631158,20089.22318,34
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.656521138,38547.02153,34
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.460355129,12279.4339,34
,,,,,,,,,,,0.504141927,34 平均值,34
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.706575149,93607.11972,35
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.506044954,35245.12825,35
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.463456918,20432.03103,35
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.534935102,30502.01957,35
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.456805149,22082.17797,35
,,,,,,,,,,,0.533563455,35 平均值,35
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.554280048,4876.196886,36
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.50760675,4092.914719,36
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.590525302,6005.878398,36
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.664273737,21585.63523,36
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.590064336,5720.0785,36
,,,,,,,,,,,0.581350035,36 平均值,36
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.696522797,26968.74974,37
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.68910103,22228.41776,37
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.667608266,24550.6142,37
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.709546806,22420.13431,37
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.677219523,12817.63828,37
,,,,,,,,,,,0.687999684,37 平均值,37
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.548964385,12046.15223,38
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.548327102,26891.07053,38
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.569333912,40848.57702,38
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.455591475,4096.565514,38
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.672460381,43918.59381,38
,,,,,,,,,,,0.558935451,38 平均值,38
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.483046817,11562.4606,39
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.564445245,26187.85192,39
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.496097746,22747.81086,39
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.654944592,60556.85178,39
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.597466232,22858.65021,39
,,,,,,,,,,,0.559200126,39 平均值,39
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.681331098,146811.1168,40
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.707619556,101512.2501,40
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.718694515,43143.50858,40
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.688429127,36663.2179,40
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.672109678,56754.32685,40
,,,,,,,,,,,0.693636795,40 平均值,40
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.699545757,89935.55801,41
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.723590839,58202.19683,41
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.724245454,45761.08615,41
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.684496405,161170.6339,41
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.711108601,46389.08172,41
,,,,,,,,,,,0.708597411,41 平均值,41
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.727454969,62790.51912,42
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.705138367,218928.4147,42
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.687411639,401917.4739,42
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.74248957,183523.0492,42
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.677175269,510400.6924,42
,,,,,,,,,,,0.707933963,42 平均值,42
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.69379863,171152.1908,43
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0.0005,0.698010882,545295.0566,43
